profile_pic,ratio_numlen_username,len_fullname,ratio_numlen_fullname,len_desc,extern_url,private,num_posts,num_followers,num_following,fake,followers_following_ratio
0,0.428574014,1,0.40956086,0,0,0,0.0,4.304065093204169,6.07073772800249,1,0.16859122401847576
0,0.463307265,1,0.0,0,0,1,0.0,2.833213344056216,4.406719247264253,1,0.1951219512195122
1,0.0,2,0.0,119,0,0,5.459585514144159,7.7488913372555315,5.081404364984463,0,14.397515527950311
0,0.242633206,1,0.0,0,0,0,0.0,4.02535169073515,3.828641396489095,1,1.1956521739130435
0,0.09956595,1,0.0,0,0,0,0.0,3.4657359027997265,4.477336814478207,1,0.3522727272727273
0,0.33821841,1,0.0,3,0,0,0.0,4.143134726391533,4.1588830833596715,1,0.96875
0,0.310679439,0,0.0,0,0,0,0.0,3.4965075614664802,3.7612001156935624,1,0.7441860465116279
0,0.334778404,1,0.085292199,0,0,0,0.0,2.833213344056216,0.0,1,16.0
1,0.133941423,1,0.0,39,0,0,4.983606621708336,9.037176752966994,5.181783550292085,0,47.241573033707866
0,0.099760079,0,0.0,0,0,1,0.6931471805599453,3.367295829986474,5.220355825078325,1,0.15135135135135136
0,0.457479574,1,0.0,0,0,0,0.6931471805599453,3.8066624897703196,4.430816798843313,1,0.5238095238095238
1,0.0,0,0.0,75,0,0,2.5649493574615367,5.746203190540153,5.924255797414532,0,0.8342245989304813
0,0.245379338,1,0.0,9,0,1,1.0986122886681096,5.7745515455444085,6.0473721790462776,1,0.7588652482269503
1,0.197569012,0,0.0,29,0,1,1.6094379124341003,6.421622267806518,6.591673732008658,1,0.8422496570644719
1,0.139366264,1,0.0,45,0,0,5.049856007249537,9.070618428801046,5.488937726156687,0,35.929752066115704
1,0.0,0,0.0,18,0,0,4.553876891600541,6.873163834212518,6.333279628139691,0,1.714031971580817
1,0.0,3,0.0,0,0,0,5.247024072160486,6.513230110912307,6.0844994130751715,0,1.5330296127562641
0,0.332179345,1,0.30602721,0,0,1,0.0,0.0,3.5553480614894135,1,0.0
